Processor,,AMD Ryzen 9 7900X3D 12-Core @ 5.66GHz (12 Cores / 24 Threads),AMD Ryzen 9 7950X3D 16-Core @ 5.76GHz (16 Cores / 32 Threads),AMD Ryzen 9 7950X 16-Core @ 5.88GHz (16 Cores / 32 Threads),AMD Ryzen 7 8700G @ 5.18GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900 12-Core @ 5.48GHz (12 Cores / 24 Threads),AMD Ryzen 5 7600X 6-Core @ 5.45GHz (6 Cores / 12 Threads),AMD Ryzen 7 7700X 8-Core @ 5.57GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900X 12-Core @ 5.73GHz (12 Cores / 24 Threads),AMD Ryzen 5 8600G @ 5.07GHz (6 Cores / 12 Threads),AMD Ryzen 7 7800X3D 8-Core @ 5.05GHz (8 Cores / 16 Threads),AMD Ryzen 7 7700 8-Core @ 5.39GHz (8 Cores / 16 Threads)
OSPRay Studio - Camera: 3 - Resolution: 4K - Samples Per Pixel: 16 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,110623,83592,79168,179331,120544,208103,156654,105267,234200,163345,
Embree - Binary: Pathtracer - Model: Asian Dragon (FPS),HIB,26.4036,34.4128,33.0153,17.1179,23.8678,14.0167,18.0795,26.0998,13.1765,18.5756,
Embree - Binary: Pathtracer - Model: Crown (FPS),HIB,24.4733,32.5029,32.3919,14.8331,21.1977,12.7869,16.7626,24.5173,11.5225,17.1035,
Embree - Binary: Pathtracer ISPC - Model: Asian Dragon (FPS),HIB,29.4096,37.3099,34.9237,18.8593,26.4052,15.6547,20.2069,28.9153,14.7027,20.8596,
Embree - Binary: Pathtracer ISPC - Model: Crown (FPS),HIB,25.4854,33.7611,33.6213,15.3017,22.1203,13.3019,17.4756,25.6662,11.8737,17.9872,
Intel Open Image Denoise - Run: RT.ldr_alb_nrm.3840x2160 - Device: CPU-Only (Images / Sec),HIB,0.68,0.88,0.92,0.46,0.64,0.38,0.5,0.72,0.36,0.46,
Intel Open Image Denoise - Run: RTLightmap.hdr.4096x4096 - Device: CPU-Only (Images / Sec),HIB,0.32,0.42,0.44,0.22,0.3,0.18,0.24,0.34,0.17,0.22,
Coremark - CoreMark Size 666 - Iterations Per Second (Iterations/Sec),HIB,684339.4573,948117.4283,1012072.393,469864.5995,648201.7259,387172.6497,514275.923,737515.9746,355333.504,465601.7188,
Google SynthMark - Test: VoiceMark_100 (Voices),HIB,1016.71,1011.57,,978.228,968.41,1010.19,1017.66,,957.869,965.373,
SecureMark - Benchmark: SecureMark-TLS (marks),HIB,433939,415196,441887,424631,449838,453031,451682,432196,414237,397366,
QuantLib - Size: XXS (tasks/s),HIB,12.3908,15.3931,14.4801,7.50658,10.5036,6.89831,8.57277,12.181,6.17687,8.56478,
BRL-CAD - VGR Performance Metric (VGR Performance Metric),HIB,298418,396249,419580,215405,270640,177511,233058,312603,168223,214855,
"OpenFOAM - Input: drivaerFastback, Small Mesh Size - Mesh Time (sec)",LIB,26.087453,24.77559,24.14911,36.109884,28.684849,35.611444,30.576079,26.632084,40.880478,29.988398,
"OpenFOAM - Input: drivaerFastback, Small Mesh Size - Execution Time (sec)",LIB,140.89539,125.39204,162.79988,299.09446,176.31664,274.28663,254.36523,174.54093,314.58335,172.34503,
"OpenFOAM - Input: drivaerFastback, Medium Mesh Size - Mesh Time (sec)",LIB,196.41535,185.46495,195.61795,259.69267,219.32679,274.50249,240.59985,209.8985,297.2511,224.61619,
"OpenFOAM - Input: drivaerFastback, Medium Mesh Size - Execution Time (sec)",LIB,1912.8557,1867.8346,2119.2562,2551.0132,2187.0492,2663.7191,2529.4525,2159.9843,2675.0741,2150.4442,
OpenRadioss - Model: Bird Strike on Windshield (sec),LIB,169.75,141.14,145.44,245.37,182.4,274.51,225.38,167.31,301.82,220.5,
OpenRadioss - Model: Rubber O-Ring Seal Installation (sec),LIB,81.88,64.91,62.42,152.36,88.53,147.68,118.84,77.32,183.83,115.45,
OpenRadioss - Model: Cell Phone Drop Test (sec),LIB,56.31,46.54,51.18,80.19,64.02,90.86,72.45,58.65,100.06,71.17,
OpenRadioss - Model: Bumper Beam (sec),LIB,110.52,95.51,92.57,150.14,113.51,144.41,128.21,106.09,170.06,133.09,
OpenRadioss - Model: INIVOL and Fluid Structure Interaction Drop Container (sec),LIB,308.2,250.17,269.31,507.53,334.58,532.93,461.35,312.5,584.06,445.54,
OpenRadioss - Model: Chrysler Neon 1M (sec),LIB,759.33,721.43,761.06,857.36,803.78,1010.03,883.65,794.6,1322.78,882.97,
libxsmm - M N K: 32 (GFLOPS/s),HIB,123.5,121.8,119.3,128.2,120.8,123,121,120.8,118.7,122.1,
libxsmm - M N K: 64 (GFLOPS/s),HIB,248.1,246.5,241.9,263.9,243.2,227.1,239.9,243.6,219.9,240.4,
GPAW - Input: Carbon Nanotube (sec),LIB,140.667,125.333,136.852,202.609,159.272,218.454,188.935,149.403,309.618,179.929,
Pennant - Test: leblancbig (Hydro Cycle Time - sec),LIB,19.12954,16.87061,24.44136,33.77762,25.45333,36.70187,32.58175,25.09908,48.17913,27.21213,
Pennant - Test: sedovbig (Hydro Cycle Time - sec),LIB,31.0396,27.09508,34.9753,49.53644,37.84079,53.49168,46.89341,36.91071,68.1352,41.99765,
NAS Parallel Benchmarks - Test / Class: BT.C (Mop/s),HIB,44296.62,53509.37,50089.22,25513.43,40917.01,25217.62,25189.66,41571.02,25295.72,24524.76,
NAS Parallel Benchmarks - Test / Class: EP.C (Mop/s),HIB,2187,2921.63,3023.51,1410.33,2081.65,1162.56,1566.33,2266.24,980,1415.96,
NAS Parallel Benchmarks - Test / Class: FT.C (Mop/s),HIB,24724.04,27604.96,27683.34,22931.2,24817.8,18133.57,24553.46,25592.17,16819.16,23127.5,
NAS Parallel Benchmarks - Test / Class: LU.C (Mop/s),HIB,46461.35,60183.7,55946.94,42921.73,44578.64,32547.42,44230.72,44843.46,31288.73,43838.2,
NAS Parallel Benchmarks - Test / Class: SP.B (Mop/s),HIB,27038.29,27315.65,20797.78,11596.42,20626.66,12316.64,12327.12,20661.16,11575.27,17244.33,
NAS Parallel Benchmarks - Test / Class: IS.D (Mop/s),HIB,1501.62,1483.97,1447.13,1565.37,1482.64,1333.56,1475.9,1496.59,1389.8,1461.59,
NAS Parallel Benchmarks - Test / Class: MG.C (Mop/s),HIB,25989.29,24452.58,23755.42,23056.98,25489.92,21109.39,23995.91,25517.27,20799.96,25299.42,
NAS Parallel Benchmarks - Test / Class: CG.C (Mop/s),HIB,13308.7,12407.21,11239.53,11072.25,11852.69,8620.42,9559.09,11867.55,9410.23,10982.77,
Xcompact3d Incompact3d - Input: input.i3d 129 Cells Per Direction (sec),LIB,12.8585544,12.5862844,14.6795232,21.6613299,14.9574452,20.2097715,19.0402895,14.9319814,24.9701633,14.4009707,
Xcompact3d Incompact3d - Input: input.i3d 193 Cells Per Direction (sec),LIB,62.0227432,60.5532125,68.9226735,79.6956965,69.6430995,82.5372162,78.9011383,70.0664037,91.3040593,69.2166163,
ACES DGEMM - Sustained Floating-Point Rate (GFLOP/s),HIB,7.962646,10.462992,11.198408,3.813829,7.680399,3.996047,5.506325,8.252924,2.141821,6.111617,
miniBUDE - Implementation: OpenMP - Input Deck: BM1 (GFInst/s),HIB,931.683,1289.065,1331.958,602.05,859.217,507.981,678.768,978.171,395.338,630.653,
miniBUDE - Implementation: OpenMP - Input Deck: BM1 (Billion Interactions/s),HIB,37.267,51.563,53.279,24.082,34.368,20.319,27.151,39.127,15.813,25.226,
miniBUDE - Implementation: OpenMP - Input Deck: BM2 (GFInst/s),HIB,948.049,1292.96,1334.076,603.198,872.512,510.271,680.308,981.821,432.919,632.715,
miniBUDE - Implementation: OpenMP - Input Deck: BM2 (Billion Interactions/s),HIB,37.922,51.718,53.363,24.128,34.9,20.411,27.212,39.273,17.317,25.309,
SPECFEM3D - Model: Layered Halfspace (sec),LIB,92.59159148,75.41088331,76.83613563,139.2252272,99.74305921,156.5080435,126.4570063,90.43366176,198.4322397,126.1350632,
SPECFEM3D - Model: Water-layered Halfspace (sec),LIB,87.63613141,72.51541806,76.03017591,134.2735457,97.64447156,145.6178114,121.2844493,89.18231512,211.0593354,113.2669531,
SPECFEM3D - Model: Homogeneous Halfspace (sec),LIB,42.24307263,33.8654691,34.21302117,65.40601142,48.31509913,71.23146292,56.56160751,43.45002818,103.5938626,57.47334086,
SPECFEM3D - Model: Mount St. Helens (sec),LIB,33.68673703,29.98680349,30.4223695,53.65679933,37.34929853,59.40853784,47.39276286,33.36514666,83.5265725,47.27977786,
SPECFEM3D - Model: Tomographic Model (sec),LIB,34.0707287,26.17329976,26.50257296,51.46927164,37.83970405,57.43145987,45.17455696,33.15323122,82.23049198,45.99329844,
GROMACS - Implementation: MPI CPU - Input: water_GMX50_bare (Ns/Day),HIB,2.433,2.871,2.731,1.495,2.214,1.354,1.647,2.392,1.186,1.889,
"NAMD - Input: ATPase with 327,506 Atoms (ns/day)",HIB,2.45862,3.02741,3.03284,1.5849,2.21649,1.42722,1.83066,2.55739,0.51714,1.73171,
"NAMD - Input: STMV with 1,066,628 Atoms (ns/day)",HIB,0.66429,0.80974,0.82017,0.46887,0.61347,0.41277,0.52361,0.70335,0.21892,0.4972,
LAMMPS Molecular Dynamics Simulator - Model: Rhodopsin Protein (ns/day),HIB,12.242,16.189,16.672,8.211,11.337,5.933,9.001,12.848,5.132,8.417,
LAMMPS Molecular Dynamics Simulator - Model: 20k Atoms (ns/day),HIB,12.525,16.651,16.974,8.376,11.552,5.517,9.371,12.958,4.939,8.804,
ASKAP - Test: tConvolve MPI - Degridding (Mpix/sec),HIB,9545.56,11010.7,10567.2,4016.47,9153.34,3989.48,5831.01,9923.93,2912.37,8332.12,
ASKAP - Test: tConvolve MPI - Gridding (Mpix/sec),HIB,11839.4,12804.9,11169.2,4232.92,10736.2,4439.52,6787.11,11934.4,3075.55,10605.2,
ASKAP - Test: tConvolve OpenMP - Gridding (Million Grid Points/sec),HIB,5788.28,7169.06,6006.45,2398.93,5024.3,2611.11,3308,5088.74,2005.19,8330.4,
ASKAP - Test: tConvolve OpenMP - Degridding (Million Grid Points/sec),HIB,9895.46,11438.5,6146.1,3395.45,5892.36,5607.67,4149.92,5796.75,3411.69,9837.85,
ASKAP - Test: tConvolve MT - Gridding (Million Grid Points/sec),HIB,2153.79,2291.6,2189.35,1870.26,2078.77,1726.45,1794.58,2057.39,1809.35,1908.03,
ASKAP - Test: tConvolve MT - Degridding (Million Grid Points/sec),HIB,2906.01,2960.53,2865.14,2719.88,2788.03,2012.44,2089.86,2715.02,2782.47,2195.98,
ASKAP - Test: Hogbom Clean OpenMP (Iterations/sec),HIB,517.734,548.27,455.626,349.391,440.633,55.0459,419.732,439.122,53.4953,738.578,
CloverLeaf - Input: clover_bm (sec),LIB,58.54,70.03,69.18,76.16,55.85,118.07,73.07,55.54,127.13,40.84,
CloverLeaf - Input: clover_bm64_short (sec),LIB,157.73,157.75,157.95,153.42,156.89,160.94,157.78,156.93,156.39,157.29,
nginx - Connections: 500 (Reqs/sec),HIB,126604.25,165662.13,174969.21,83264.84,117370,69755.66,98683.2,135846.3,60623.73,95328.17,
nginx - Connections: 1000 (Reqs/sec),HIB,124497.13,160717.78,157947.73,77202.02,113213.91,67147.41,93320.95,126881.07,58503.3,93500.95,
Apache HTTP Server - Concurrent Requests: 500 (Reqs/sec),HIB,119763.3,145568.99,149544.39,91354.05,113095.53,79285.2,107318.1,124228.55,68814.54,102505.47,
Apache HTTP Server - Concurrent Requests: 1000 (Reqs/sec),HIB,118549.17,147186.87,148727.98,82737.12,112523.91,70941.14,97489.88,122871.93,62487.36,97434.42,
Gcrypt Library -  (sec),LIB,157.944,158.357,156.289,165.796,157.167,158.331,153.937,156.621,168.702,169.611,
OpenSSL - Algorithm: RSA4096 (sign/s),HIB,10314,13765.5,15041.1,6953.1,9237.8,5682.1,7899.3,11618.3,5201.8,6981,
OpenSSL - Algorithm: RSA4096 (verify/s),HIB,276165,373708.4,390553.3,181087.3,269274.7,141617.8,197800.3,291492.8,129567,181261.5,
OpenSSL - Algorithm: SHA256 (byte/s),HIB,25031729300,33685103517,36112717797,16443782513,23422051187,12660251213,18276562437,26875900640,11673267430,16077606657,
OpenSSL - Algorithm: SHA512 (byte/s),HIB,8005917573,10776664750,11688134707,5435579553,7677141853,4123057283,5919888683,8679927303,3808991893,5065063923,
OpenSSL - Algorithm: AES-128-GCM (byte/s),HIB,1.8859E+11,2.52698E+11,2.68355E+11,1.22893E+11,1.71705E+11,1.0118E+11,1.37083E+11,2.0111E+11,92178728367,1.26642E+11,
OpenSSL - Algorithm: AES-256-GCM (byte/s),HIB,1.61342E+11,2.16304E+11,2.29695E+11,1.03716E+11,1.4776E+11,87301717810,1.16859E+11,1.71721E+11,79378149553,1.08321E+11,
OpenSSL - Algorithm: ChaCha20 (byte/s),HIB,97569908883,1.30931E+11,1.37245E+11,62921248133,91441462930,45138672714,69874425400,1.02486E+11,46493672610,65041419193,
OpenSSL - Algorithm: ChaCha20-Poly1305 (byte/s),HIB,69128654303,92650569000,97503846853,44538023027,64824923840,30773352477,49651649337,72950722013,32959747230,46333909220,
Cryptsetup - PBKDF2-sha512 (Iterations/sec),HIB,2568706,2535857,2741396,2649046,2720081,2793726,2778342,2594426,2590164,2463378,
Cryptsetup - PBKDF2-whirlpool (Iterations/sec),HIB,945196,913401,985510,948159,980591,1002462,1004871,948656,936228,911812,
Cryptsetup - AES-XTS 256b Encryption (MiB/s),HIB,5605.1,6548.3,6382.6,5924.3,6240.7,6284.9,6390,6298.6,5815.8,5617.2,
Cryptsetup - AES-XTS 256b Decryption (MiB/s),HIB,5693.5,6590.1,6370.7,5920.1,6255.5,6279.3,6408.8,6326.6,5816,5636,
Cryptsetup - Serpent-XTS 256b Encryption (MiB/s),HIB,939.1,1017.1,1002.2,944.3,963.5,800.6,984.4,996.8,928.5,924.9,
Cryptsetup - Serpent-XTS 256b Decryption (MiB/s),HIB,927,1011,994,937.6,955.4,793.7,974.4,988.2,922,917.8,
